#Instance  RESULT  cc_changed  cc_unchanged  cc_changed_inc  cc_unchanged_inc  ic_changed  ic_unchanged  ic_changed_inc  ic_unchanged_inc
1-FullIns_3_col4_1  SAT  1.374  1.0710000000000002  1.291  0.756  1.311  0.899  1.300  0.936
queen5_5_col5_6  UNSAT  446.8109999999999  301.20099999999985  0.061  0.149  221.538  148.9829999999999  0.047  0.083
queen5_5_col5_7  UNSAT  441.07100000000014  303.44899999999996  0.074  0.056  222.10000000000005  149.68199999999985  0.042  0.038
queen5_5_col5_8  UNSAT  442.53900000000016  303.82100000000014  0.073  0.137  223.00199999999992  147.60499999999996  0.049  0.077
queen5_5_col5_9  UNSAT  443.3529999999998  302.95200000000006  0.074  0.066  221.94600000000005  145.9229999999999  0.050  0.042
queen5_5_col5_10  UNSAT  446.0269999999997  305.3499999999997  0.073  0.058  221.97799999999995  143.89700000000005  0.050  0.038
queen6_6_col7_1  UNSAT  TO  TO  5.375  5.488  TO  TO  2506.544  4.265
queen6_6_col7_2  UNSAT  TO  TO  5.337  5.292  TO  TO  7.631  4.362
queen6_6_col7_3  UNSAT  TO  TO  5.345  4.390  TO  TO  2780.980  4.262
queen6_6_col7_4  UNSAT  TO  TO  5.714  4.358  TO  TO  7.405  4.288
queen6_6_col7_5  UNSAT  TO  TO  4.274  5.178  TO  TO  2474.209  4.300
queen6_6_col7_6  UNSAT  TO  TO  5.403  5.129  TO  TO  2662.531  4.524
queen6_6_col7_7  UNSAT  TO  TO  5.219  4.418  TO  TO  2566.954  4.315
queen6_6_col7_8  UNSAT  TO  TO  4.300  4.389  TO  TO  TO  10.147
queen6_6_col7_9  UNSAT  TO  TO  5.365  5.407  TO  TO  8.606  5.031
queen6_6_col7_10  UNSAT  TO  TO  TO  4.412  TO  TO  7.384  4.285
queen7_7_col7_1  UNSAT  TO  TO  2804.714  949.947  TO  TO  TO  3014.470
queen7_7_col7_2  UNSAT  TO  TO  1.342  907.100  TO  TO  3469.145  790.195
queen7_7_col7_3  UNSAT  TO  TO  1.586  1.499  TO  TO  1076.591  1.353
queen7_7_col7_4  UNSAT  TO  TO  TO  2.768  TO  TO  3590.150  4.182
queen7_7_col7_5  UNSAT  TO  TO  1.622  6.052  TO  TO  1084.142  663.946
queen7_7_col7_6  UNSAT  TO  TO  1.803  1626.628  TO  TO  2424.044  840.639
queen7_7_col7_7  UNSAT  TO  TO  1.343  1.590  TO  TO  1073.356  1110.973
queen7_7_col7_8  UNSAT  TO  TO  1.481  3.652  TO  TO  2912.912  1.506
queen7_7_col7_9  UNSAT  TO  TO  1224.680  3.760  TO  TO  2403.172  813.772
queen7_7_col7_10  UNSAT  TO  TO  1.557  1.349  TO  TO  3029.962  1.270
